name,calories,proteins,lipids,carbs,fibers,userId,
Alune cu sare Penny,622,25,50,14,0,admin,
Alune de padure Alesto,749,13,68,18,8,admin,
Alune de padure Auchan,588,19,52,9,15,admin,
Alune de padure coapte Carrefour,638,15,54,18,11,admin,
Alune de padure coapte Elmas,634,21,55,19,11,admin,
Alune de padure Coop,590,18,54,7,0,admin,
Alune de padure crude,536,25,46,21,11,admin,
Alune de padure crude 365,568,30,43,23,12,admin,
Alune de padure crude Clever,640,27,50,17,11,admin,
Alune de padure crude Cora,665,22,53,19,12,admin,
Alune de padure crude Fine Foods,705,15,61,18,10,admin,
Alune de padure crude intregi SanoVita,674,12,62,17,0,admin,
Alune de padure crude Poex,652,12,62,11,8,admin,
Alune de padure crude Real,644,12,62,11,8,admin,
Alune de padure crude Solaris,650,25,52,17,0,admin,
Alune de padure Cypressa,670,17,65,5,0,admin,
Alune de padure decojite Fruit Orchard,673,15,62,18,9,admin,
Alune de padure decojite Orlando's,690,25,46,14,11,admin,
Alune de padure in coaja subtire crude Orlando's,640,27,50,17,11,admin,
Alune de padure Nutline,637,22,54,16,0,admin,
Alune de padure Poex,666,12,62,11,8,admin,
Alune de padure prajite 365,634,21,19,95,0,admin,
Alune de padure prajite Elmas,587,16,55,18,14,admin,
Alune de padure prajite Horeca,652,15,62,18,9,admin,
Alune de padure prajite si sarate Carrefour,692,15,62,18,9,admin,
Alune de pamant,567,27,49,16,9,admin,
Alune de pamant Carrefour,587,25,48,13,7,admin,
Alune de pamant Elmas,603,27,49,20,11,admin,
Alune decojite crude Carrefour,598,27,50,6,7,admin,
Alune decojite Selgros,570,25,48,12,9,admin,
Alune fara sare Stilla,604,27,49,14,5,admin,
Alune Grivas,599,28,53,15,9,admin,
Alune in ciocolata Sainsbury,555,16,37,38,5,admin,
Alune in crusta Alesto Cruspies,506,14,31,40,0,admin,
Alune in crusta Soltino,513,12,33,41,0,admin,
Alune invelite in ciocolata Sensations,480,14,21,56,3,admin,
Alune nesarate Mogyi,638,28,52,15,0,admin,
Alune padure prajite Casino,702,16,67,3,12,admin,
Alune padure Stilla Natura,628,15,61,17,0,admin,
Alune picante Crispers Chili Chio,525,12,34,42,3,admin,
Alune picante cu paprika Felix,549,24,44,14,0,admin,
Alune picante Soltino,592,26,46,16,0,admin,
Alune prajite fara ulei,594,17,52,23,9,admin,
Alune prajite fara ulei sarate Fiesta,620,25,50,13,7,admin,
Alune prajite Hacendado,624,28,51,13,2,admin,
Alune prajite in ulei,617,17,56,21,10,admin,
Alune prajite Peanotter,680,24,52,14,8,admin,
Alune prajite Saltino,614,25,49,14,0,admin,
Alune prajite si sarate Circuss,592,25,47,13,1,admin,
Alune prajite si sarate Felix,596,25,49,14,9,admin,
Alune prajite si sarate K-Classic,620,25,50,14,7,admin,
Alune prajite nesarate Mogyi,638,28,52,15,7,admin,
Alune Royal Nuts K-Classic,629,16,55,16,7,admin,
Alune sarate Best Foods,577,20,42,32,3,admin,
Alune sarate si prajite Mogyi,642,15,28,49,0,admin,
Alune Star Naturals,547,23,44,14,10,admin,
Alune Stilla Natura,628,15,61,17,0,admin,
Alunite umplute cu crema de cacao Olla,472,6,18,69,5,admin,
Alunite umplute cu crema de capsuni Olla,463,7,19,66,3,admin,
Aluntie umplute cu crema de vanilie Olla,469,7,19,66,3,admin,
Alvita cu arahide Bun din Romania,418,6,12,70,0,admin,
Amandina,244,6,9,35,1,admin,
Ameste de legume cu ciuperci si orez Casa Taraneasca,98,2,1,20,2,admin,
Amestec alune Casino,594,23,49,11,8,admin,
Amestec branzeturi maturate Agriform,390,35,27,3,0,admin,
Amestec caise coacaze goji migdale floerea soarelui Nutribon,356,8,6,61,9,admin,
Amestec carne porc pentru tocat Lidl,248,17,20,0,0,admin,
Amestec cereale integrale Integral-R Rommac,320,12,3,61,20,admin,
Amestec chinezesc Chira Lidl,28,2,1,3,3,admin,
Amestec cus cus Hortex,34,2,1,5,0,admin,
Amestec de 8 legume Uncle Statis,43,2,0,9,3,admin,
Amestec de cereale Pirifan,356,12,4,68,0,admin,
Amestec de fructe uscate Alesto,244,3,2,46,9,admin,
Amestec de fructe uscate royal nuts Kaufland,629,16,55,16,7,admin,
Amestec de goji merisoare si agrise Mega Image,734,15,6,156,0,admin,
Amestec de legume congelate cu orez Hortex,66,2,0,13,0,admin,
Amestec de legume congelate Fitness Premium Iglo,26,2,0,4,0,admin,
Amestec de legume congelate Mexican Style Green Grocer's,87,2,5,6,0,admin,
Amestec de legume cu orez Gradena,62,2,0,12,0,admin,
Amestec de legume cu unt Green Gold Plus,103,3,6,9,0,admin,
Amestec de legume de gradina congelate Casa Taraneasca,55,3,0,11,1,admin,
Amestec de legume de gradina Iglo,54,3,1,8,3,admin,
Amestec de legume de vara Iglo,37,2,0,7,0,admin,
Amestec de legume Italian style Green Grocer's,45,2,2,3,0,admin,
Amestec de legume macedonean Bonduelle,43,2,0,8,0,admin,
Amestec de legume macedonean Delhaize,30,2,0,4,4,admin,
Amestec de legume macedonean Mega Image,45,2,0,8,3,admin,
Amestec de legume mexican Hortex,56,4,0,8,2,admin,
Amestec de legume Minestrone Dujardin,38,2,0,7,3,admin,
Amestec de legume pentru bors romanesc Casa Taraneasca,20,1,0,3,0,admin,
Amestec de legume pentru ciorba Minestrone Greens,42,2,0,8,0,admin,
Amestec de legume pentru ciorba vita Casa Taraneasca,51,3,0,11,0,admin,
Amestec de legume pentru salata boeuf Casa Taraneasca,56,2,0,12,0,admin,
Amestec de legume pentrut ciorba Emborg,20,2,0,3,0,admin,
Amestec de legume Royal Mix Bonduelle,27,2,0,3,3,admin,
Amestec de legume salata boeuf Casa Taraneasca,61,2,0,12,0,admin,
Amestec de legume Vita Star,53,4,1,8,0,admin,
Amestec de legume Wok Chinese Findus,40,1,0,4,3,admin,
Amestec de merisoare goji si agrise Jasmin,310,4,1,72,5,admin,
Amestec de nuci Hema,695,18,62,11,9,admin,
Amestec de nuci si alune crude Snacking Sport Max Fit Food Kluth,625,22,55,12,7,admin,
Amestec de nuci Spar Vital,628,17,53,18,6,admin,
Amestec de salata boeuf Dujardin,57,2,0,9,4,admin,
Amestec de seminte in chia psysillium,497,11,30,40,29,admin,
Amestec de seminte omega forte Solaris,600,20,50,15,15,admin,
Amestec de vara Dujardin,31,2,0,5,4,admin,
Amestec din fulgi de cereale Solaris,348,11,3,68,10,admin,
Amestec fructe de padure congelate K-Classic,59,1,1,10,0,admin,
Amestec fructe de padure congelate K-Classic,47,1,1,6,5,admin,
Amestec fructe de padure Crop's,38,1,1,6,3,admin,
Amestec fructe First Fruit,26,1,0,5,1,admin,
Amestec fructe padure uscate si alune crude Fit food Kluth,370,7,17,48,5,admin,
Amestec Hawaii mix Dujardin,98,4,1,20,3,admin,
Amestec leguma de toamna Autumn Soup Icefield ,34,3,4,0,0,admin,
Amestec legume caraibean Frosta,42,2,1,6,0,admin,
Amestec legume congelate Vip Hortex,33,2,0,5,1,admin,
Amestec legume Country Mix,28,2,0,3,3,admin,
Amestec legume Country Vita Star,99,2,5,12,0,admin,
Amestec legume cu porumb Dujardin,59,3,1,8,4,admin,
Amestec legume de gradina Carrefour,55,3,0,11,5,admin,
Amestec legume de gradina Casa Taraneasca (portocaliu),62,3,0,12,0,admin,
Amestec legume de primavara Hortex,30,3,0,4,1,admin,
Amestec legume gradinaresc Iglo,67,3,0,12,0,admin,
Amestec legume Hawaii Edenia,104,4,1,20,3,admin,
Amestec legume mediteranean Iglo,27,2,0,4,0,admin,
Amestec legume mexicane Globus,73,3,2,9,4,admin,
Amestec legume oriental style Green Grocer's Lidl,55,2,3,4,0,admin,
Amestec legume pentru ghiveci LegoFruct,34,2,0,6,0,admin,
Amestec legume pentru supa Edenia,29,2,0,3,4,admin,
Amestec legume pentru wok Delhaize,33,2,0,4,3,admin,
Amestec legume pt ciorbe Vita Star,26,2,0,4,0,admin,
Amestec legume stir fry Dujardin,64,3,0,11,3,admin,
Amestec legume supa K-classic,32,1,1,4,0,admin,
Amestec legume supa Lidl,34,3,1,4,1,admin,
Amestec marocan de legume Carrefour,64,2,4,4,3,admin,
Amestec mexican 3 legume Dujardin,72,5,1,11,6,admin,
Amestec Mexican 365,52,2,1,8,3,admin,
Amestec mexican congelat Casa Taraneasca,46,3,0,9,0,admin,
Amestec mexican cu ciuperci champignon Hortex,97,4,1,19,0,admin,
Amestec mexican de legume Carrefour,46,3,0,9,5,admin,
Amestec mexican de legume Clever,51,3,0,11,3,admin,
Amestec mexican de legume congelate Winny,46,3,0,9,0,admin,
Amestec mexican de legume cu orez Carrefour,103,3,1,20,2,admin,
Amestec mexican de legume Gradena,53,2,1,7,3,admin,
Amestec mexican de legume No. 1,52,2,1,8,3,admin,
Amestec mexican de legume Vitae D'oro,73,3,2,9,4,admin,
Amestec mexican Dujardin,50,3,0,7,4,admin,
Amestec mexican Edenia,50,3,0,7,4,admin,
Amestec mexican Gradina Bunicii,52,2,1,8,3,admin,
Amestec mexican Gradina cu Soare,51,3,0,11,3,admin,
Amestec mexican LegoFruct,62,3,1,10,0,admin,
Amestec mexican Prima,20,3,0,2,0,admin,
Amestec mexican Tiko,46,2,1,8,0,admin,
Amestec miere polen propolis laptisor de matca Energo Forte,376,7,1,82,0,admin,
Amestec minestrone Edenia,44,2,0,7,3,admin,
Amestec nuci bio Bioking,616,16,55,14,0,admin,
Amestec nuci exotice cu stafide Kluth,476,10,31,31,4,admin,
Amestec nuci si fructe Sunny Mix Fit Food,490,12,32,38,7,admin,
Amestec nuci si stafide California Lidl,483,17,30,35,3,admin,
Amestec nuci tropicale si stafide Fine Food,529,13,40,29,8,admin,
Amestec nuci fructe uscate si aloe vera Fit Food Kluth,406,6,16,60,5,admin,
Amestec paine 6 cereale Bauck Hof,352,10,2,73,0,admin,
Amestec Party Mix Nutline,504,14,34,36,0,admin,
Amestec pentru ciorba traditionala Casa Taraneasca,38,2,0,7,0,admin,
Amestec salata creata Spar,20,1,0,3,2,admin,
Amestec salata frantuzeasca BoVita,64,3,0,13,2,admin,
Amestec salata gourmet Edulis,16,2,0,3,0,admin,
Amestec salata verde Hacendado,47,3,0,6,7,admin,
Amestec seminte Jasmin,559,21,41,25,11,admin,
Amestec seminte Maryland,446,13,27,34,0,admin,
Amestec Stir Fry Edenia,64,3,0,11,3,admin,
Amestec tarate psyllium ovaz in carob SanoVita,133,7,8,7,24,admin,
Amidon,335,1,0,83,0,admin,
Amidon (grau),348,0,0,86,0,admin,
Amidon (porumb),346,0,0,86,0,admin,
Amidon alimentar fin Gustin Dr. Oetker,343,0,0,87,0,admin,
Amidon din porumb cerat MyProtein,353,0,0,88,0,admin,
Amino 12500 Pro Nutrition,190,50,0,0,0,admin,
Amino 6000 Dymatize,300,30,0,0,0,admin,
Amino Liquid 50 Scitec Nutrition,260,50,0,10,0,admin,
Aminoacizi lichizi Nutrend,133,31,0,0,0,admin,
Aminoacizi lichizi Weider,250,52,0,12,0,admin,
Anabolic protein Pro Nutrition,247,48,4,4,1,admin,
Ananas bucati in sirop slab indulcit Clever,70,0,0,17,1,admin,
Ananas bucati in sirop slab indulcit Fine Life,66,0,0,16,1,admin,
Ananas compot rondele si suc,60,0,0,16,1,admin,
Ananas confiat,325,3,3,75,5,admin,
Ananas felii Kaufland Classic,64,0,0,15,1,admin,
Ananas in sirop Kouki,68,0,0,16,1,admin,
Ananas proaspat,48,0,0,12,1,admin,
Anchoa in ulei vegetal Lindamar,209,25,12,0,0,admin,
Andive,17,1,0,3,3,admin,
Anghinare,22,3,0,3,1,admin,
Anginare,51,3,0,12,5,admin,
Antricot de vita,236,17,19,0,0,admin,
Antricot porc crud,179,18,12,0,0,admin,
Apa de cocos,19,1,0,4,1,admin,
Aperitiv de dovlecei Natur Bravo,97,1,7,7,0,admin,
Aperitiv de vinete Natur Bravo,119,1,9,8,0,admin,
Aperitiv vegetal cu naut Velicia,320,10,30,3,0,admin,
Aperitive de branza Delaco,327,9,31,3,0,admin,
Arahide Alesto,640,27,54,9,0,admin,
Arahide Carrefour,620,25,53,13,7,admin,
Arahide coapte in pastaie Orlando's,622,25,47,21,9,admin,
Arahide coapte si sarate Elmas,568,30,43,23,12,admin,
Arahide coapte si sarate Orlando's,665,29,53,14,9,admin,
Arahide coapte si sarate Soltino,619,25,50,14,7,admin,
Arahide coapte Sunlit,570,25,50,12,9,admin,
Arahide crude Bunetto,567,25,50,15,0,admin,
Arahide crude decojite Carrefour,598,27,50,6,0,admin,
Arahide crude Elmas,559,27,44,24,7,admin,
Arahide crude Fine Food,620,25,53,13,7,admin,
Arahide crude Solaris,584,26,45,16,0,admin,
Arahide cu coaja prajite uscat sarate 365,689,28,49,18,7,admin,
Arahide decojite coapte si sarate Proxi,608,25,47,18,7,admin,
Arahide decojite crude Carrefour,598,27,50,6,0,admin,
Arahide decojite crude Orlando's,584,26,45,15,7,admin,
Arahide decojite crude Orlandos,634,25,48,21,9,admin,
Arahide decojite prajite cu sare Aro,617,26,51,9,0,admin,
Arahide decojite prajite cu sare Best,620,28,50,14,0,admin,
Arahide decojite prajite sarate 365,568,30,43,23,12,admin,
Arahide decojite prajite si sarate Crox,620,25,50,14,0,admin,
Arahide decojite prajite si sarate Proxi,635,26,51,26,0,admin,
Arahide decojite coapte si sarate Orlando's,639,25,49,21,9,admin,
Arahide decojite prajite si sarate Clever,570,25,50,12,9,admin,
Arahide Happy Harvest,628,22,52,13,0,admin,
Arahide in ciocolata Big Ben,503,7,24,62,2,admin,
Arahide in ciocolata Clickos,492,8,25,59,0,admin,
Arahide in coaja Mocerino,559,28,44,9,10,admin,
Arahide in coaja prajite si sarate Fiesta,532,23,43,20,7,admin,
Arahide in coaja prajite si sarate Real,620,25,53,13,7,admin,
Arahide in coaja rosie Fiesta,532,23,43,20,7,admin,
Arahide in coaja subtire coapte si sarate Auchan,568,26,43,17,7,admin,
Arahide in coaja subtire Orlando's,622,25,47,21,9,admin,
Arahide in crusta de wasabi K-Classic,525,13,33,42,1,admin,
Arahide nedecojite crude Agrofruct,572,25,50,12,9,admin,
Arahide Nutline,645,24,56,12,0,admin,
Arahide petrecarete coapte usor sarate Nutline,607,27,48,14,7,admin,
Arahide Petrecarete Nutline,516,23,40,18,8,admin,
Arahide prajite cu barbecue Best,620,28,50,14,0,admin,
Arahide prajite decojite si sarate Best Foods,577,20,42,32,3,admin,
Arahide prajite fara sare Best Peanuts,620,28,50,14,0,admin,
Arahide prajite fara sare Soltino,610,27,48,14,0,admin,
Arahide prajite in ulei si sarate Elmas,631,29,54,16,11,admin,
Arahide prajite in ulei si sarate Fiesta,627,25,53,13,7,admin,
Arahide prajite si sarate cu coaja Best,620,28,50,14,0,admin,
Arahide prajite si sarate Gud Kikiriki,607,28,49,10,7,admin,
Arahide prajite si sarate Gusto,620,14,50,14,7,admin,
Arahide prajite si sarate Snacksia,622,25,47,21,9,admin,
Arahide prajite si sarate Soltino,605,25,50,14,0,admin,
Arahide prajite si sarate UberNuts,622,28,52,6,8,admin,
Arahide sarate in coaja Clarky's Plus,207,9,17,18,12,admin,
Arahide Stilla Natura,602,27,49,14,8,admin,
Ardei (galben congelat),25,1,0,5,2,admin,
Ardei (iute congelat),40,2,0,10,2,admin,
Ardei (rosu congelat),30,1,0,5,2,admin,
Ardei (verde congelat),24,1,0,4,1,admin,
Ardei capia,26,1,0,6,2,admin,
Ardei capia copt decojit in otet cu indulcitor 365 Mega Mmage ,28,1,0,6,1,admin,
Ardei capia copti Darinne,26,1,0,4,1,admin,
Ardei capia copti Olympia,33,0,0,13,3,admin,
Ardei gras congelat felii Dujardin,26,1,0,5,2,admin,
Ardei gras copt,29,1,0,6,0,admin,
Ardei gras galben,27,1,0,6,1,admin,
Ardei iute galben Sera,10,0,0,2,0,admin,
Ardei iute in otet Raureni,18,1,0,3,2,admin,
Ardei iute in otet Traditia gustului Cora,29,1,0,5,0,admin,
Ardei iute intreg in otet Turan,19,1,0,2,2,admin,
Ardei iute murat Defne,19,1,0,2,2,admin,
Ardei iuti jalapeno murati,27,1,1,5,3,admin,
Ardei rosu congelat Ramiro,40,1,0,6,3,admin,
Ardei rosu fiert,28,1,0,7,1,admin,
Ardei rosu gras,31,1,0,6,2,admin,
Ardei rosu iute,40,2,0,9,2,admin,
Ardei verde,24,1,0,4,2,admin,
Ardei verde fiert,26,1,0,6,1,admin,
Ardei verde iute Alipende,29,3,1,4,0,admin,
Aripi crude de curcan fara piele,119,18,5,0,0,admin,
Aripi curcan gatite cu piele,207,28,10,0,0,admin,
Aripi curcan gatite fara piele,163,31,3,0,0,admin,
Aripi de pui barbeque Sadia,193,23,11,1,0,admin,
Aripi de pui cu piele crude,205,17,15,0,0,admin,
Aripi de pui cu piele gatite,290,27,20,0,0,admin,
Aripi de pui fara piele gatite,203,31,8,0,0,admin,
Aripi pui crude Glenfell Lidl,212,19,14,2,0,admin,
Aripioare de pui McDonalds,291,16,20,12,1,admin,
Aripioare de pui prajite,211,30,9,0,0,admin,
Aripioare picante KFC,320,20,22,11,0,admin,
Aronia deshidratate,284,2,2,55,17,admin,
Arpacas Boromir,349,13,0,71,9,admin,
Arpacas de grau Deroni,375,10,2,79,0,admin,
Arpacas de orz,352,10,1,78,16,admin,
Arpacas Deroni,333,10,2,62,15,admin,
Arpagic,30,3,1,4,3,admin,
Arpagic proaspat,32,2,0,7,3,admin,
Avocado,167,2,15,9,7,admin,
Ayran,52,3,3,2,0,admin,
Ayran 15% Big Panda,28,2,2,2,0,admin,
Ayran 22% Meggle,34,2,2,2,0,admin,
Ayran 22% Pilos,34,2,2,2,0,admin,
Ayran Sarikiz,19,2,1,2,0,admin,
Ayran Zarone,32,2,2,2,0,admin,
Babic Agricola,478,21,42,4,0,admin,
Babic Aldis,472,22,40,2,0,admin,
Baby carrots congelati Dujardin,27,1,0,3,3,admin,
Baby carrots congelati Dujardin Edenia,32,1,0,3,3,admin,
Baby carrots K-Classic,32,1,0,6,3,admin,
Baby hering Copanex,217,17,15,1,0,admin,
Baby spanac 365 Mega Image,23,4,0,2,2,admin,
Baby spanac Carrefour,25,4,0,2,1,admin,
Baby spanac Oliveris,23,3,0,4,0,admin,
Baby spinach Nattura,26,3,1,1,0,admin,
Baclava,490,5,36,36,0,admin,
Baclava cu nuca Lidl ,379,4,17,51,5,admin,
Baclava cu nuca si cacao Yuksel,378,6,14,58,0,admin,
Baclava cu nuca Yuksel,405,6,14,65,0,admin,
Baclava Tatlici Safa ,398,5,18,56,1,admin,
Baclava turceasca,397,6,27,35,2,admin,
Bacon afumat Carrefour,412,12,40,1,0,admin,
Bacon afumat Cris-Tim,346,18,30,1,0,admin,
Bacon afumat cuburi 365,233,16,19,1,0,admin,
Bacon afumat Delfin,266,19,21,1,0,admin,
Bacon afumat feliat Cora,112,22,2,1,0,admin,
Bacon Agil,290,15,24,1,0,admin,
Bacon Aldi R,375,14,35,1,0,admin,
Bacon Aldis,415,14,38,1,0,admin,
Bacon Alipende,318,16,28,1,0,admin,
Bacon Auchan,250,16,20,2,0,admin,
Bacon Carrefour,448,22,40,0,0,admin,
Bacon Cora,161,16,11,1,0,admin,
Bacon crud Dulano,268,16,22,1,0,admin,
Bacon Crud Uscat Pikok Lidl,391,18,35,1,1,admin,
Bacon feliat Best Farm,163,18,10,0,0,admin,
Bacon feliat fiert afumat Auchan,292,16,25,1,0,admin,
Bacon fume Dulano,135,28,2,1,0,admin,
Bacon Gourmet,350,18,32,1,0,admin,
Bacon Hanegal eco.,350,17,31,1,0,admin,
Bacon La Selva,350,15,32,1,0,admin,
Bacon Meda,268,15,23,1,0,admin,
Bacon porc feliat Auchan,251,18,19,1,0,admin,
Bacon Reinert,436,18,40,1,0,admin,
Bacon Skiver,348,14,32,1,0,admin,
Bacon Tulip,310,14,28,1,0,admin,
Bacon Unicarm,218,17,16,1,0,admin,
Bagheta alba sandwich cu salam vienez Pincess,302,12,17,27,0,admin,
Bagheta bistro cu salam Dr.Oetker,246,8,10,29,0,admin,
Bagheta flute Paul,299,10,1,61,4,admin,
Bagheta frantuzeasca,277,9,4,50,3,admin,
Bagheta pescareasca Gusturi Romanesti,108,20,3,0,0,admin,
Bagheta peste Auchan,108,20,3,0,0,admin,
Bagheta rustica Chives,170,10,2,26,0,admin,
Bagheta usturoi Kaufland,318,8,11,45,0,admin,
Bake Rolls cu sare 7 Days,460,13,15,66,0,admin,
Bake rolls cu usturoi 7 Days,445,13,15,64,0,admin,
Bake Rolls multigrain usturoi 7 Days,460,13,17,61,0,admin,
Bake Rolls pizza 7 Days,496,14,16,71,4,admin,
Balena,119,23,3,0,0,admin,
Bame congelate Casa Taraneasca,30,2,0,7,2,admin,
Bame proaspete,33,2,0,7,3,admin,
Banane,89,1,0,23,3,admin,
Banane de ciocolata Bella,383,2,11,68,3,admin,
Banane deshidratate,519,2,34,58,8,admin,
Batoane cereale si ciocolata Sunny Nature,401,4,9,76,3,admin,
Batoane cu merisoare Tre Mulini,361,7,5,71,4,admin,
Batoane cu pasta de fructe cu zmeura Aptonia,330,2,1,80,3,admin,
Batoane de beste Fish Fingers Frosta,230,14,10,21,1,admin,
Batoane de calamar congelate Royal Greenland,172,12,8,14,0,admin,
Batoane de peste congelat Frosta,178,12,6,20,0,admin,
Batoane de peste congelat Mexican Frosta,204,12,11,16,0,admin,
Batoane de peste congelat Royal Arctic,219,8,10,24,0,admin,
Batoane de peste congelat Winny,230,9,8,31,0,admin,
Batoane de peste Iglo,197,13,8,18,0,admin,
Batoane de peste pane Golden Seafood,178,14,8,12,1,admin,
Batoane de peste pane Vici,212,11,8,24,0,admin,
Batoane de peste Rewe Iglo,201,13,8,19,1,admin,
Batoane de surimi cu gust de crab Atlantida,130,8,4,17,0,admin,
Batoane dietetice caramel Gerlinea,382,25,11,47,5,admin,
Batoane dietetice ciocolata Gerlinea,382,25,11,47,5,admin,
Batoane dietetice cu menta si ciocolata Gerlinea,335,25,8,34,22,admin,
Batoane energetice cu pere si ciocolata Optonia,303,2,3,66,1,admin,
Batoane hiperproteice Aptonia,335,30,12,26,20,admin,
Batoane hiperproteice Ligne & equilibre Carrefour,413,23,13,53,2,admin,
Batoane hot dog Horeca,235,1,3,50,1,admin,
Batoane mozzarella Cheesetrings Ficello,286,29,19,0,0,admin,
Batoane peste Fish Fingers Tiko,252,9,10,30,0,admin,
Batoane peste pane fish fingers Ocean Sea,181,12,8,15,0,admin,
Batoane proteice cu ciocolata alba Gerlinea,395,23,14,46,7,admin,
Batoane proteice cu ciocolata si portocale Gerlinea,404,23,15,46,5,admin,
Batog din novac afumat Cora,122,17,5,0,0,admin,
Baton Atkins Chocolate Coconut ,425,13,30,48,23,admin,
baton bio cu seminte de canepa si cacao Canah,374,10,20,33,6,admin,
Baton bio musli si ciocolata Alnatura,420,13,4,67,3,admin,
Baton Brown Rice Protein Cookie My Protein,447,46,20,18,10,admin,
Baton Brown Rice Protein My Protein,375,80,1,10,8,admin,
Baton capsuni Cerbona,386,5,14,69,4,admin,
Baton caramel Protein Plus Power Bar,386,28,11,44,4,admin,
Baton caramel Shapers Crispy,345,3,12,76,0,admin,
Baton carne Reinert,272,13,24,1,0,admin,
Baton cereale Corny Activ,349,7,14,46,17,admin,
Baton cereale cu cacao Winny,389,7,7,74,3,admin,
Baton cereale cu ciocolata Aptonia,424,7,14,68,5,admin,
Baton cereale cu ciocolata Chocapic,415,8,14,66,3,admin,
Baton cereale cu ciocolata fara zahar Corny,325,6,10,66,3,admin,
Baton cereale cu ciocolata Nestle Fitness,393,6,4,71,4,admin,
Baton cereale cu fructe rosii Aptonia,389,5,9,72,4,admin,
Baton cereale cu fructe tropicale si iaurt Active Bar Rommac,321,6,2,77,10,admin,
Baton cereale cu mere si pere Stilla Fitness,350,7,5,72,0,admin,
Baton cereale cu piersici si caise Stilla Fitness,339,6,5,70,0,admin,
Baton cereale cu smochine si prune Aptonia,335,30,12,26,20,admin,
Baton cereale integrale cu fructe tropicale si iaurt Rommac,321,6,2,77,10,admin,
Baton cereale Lion Nestle,402,8,6,77,5,admin,
Baton cereale pentru controlul greutatii Carrefour,307,10,10,57,13,admin,
Baton cereale si cacao Mulino Bianco,447,8,19,62,8,admin,
Baton cereale si lapte Nesquik snack ,499,6,26,58,0,admin,
Baton cereale Special K,383,8,5,77,2,admin,
Baton cereale Winny,396,6,7,76,3,admin,
Baton choco-crisp Weight Care,363,23,12,42,6,admin,
Baton ciocolata alba cu alune de padure si stafide Heidi,443,7,29,39,0,admin,
Baton ciocolata Albeni,486,4,26,58,0,admin,
Baton ciocolata Ani Brawo Desire,467,6,22,78,0,admin,
Baton ciocolata caramel,416,5,14,68,0,admin,
Baton ciocolata cocos Delicii Poiana,465,3,21,68,1,admin,
Baton ciocolata cu alune hazelnutz Heidi,552,6,36,52,2,admin,
Baton ciocolata cu alune Smash,472,10,26,49,0,admin,
Baton ciocolata cu arahide Poiana Delicii,500,9,28,53,0,admin,
Baton ciocolata cu branza dulce Dots Nature,357,10,18,40,0,admin,
Baton ciocolata cu branza dulce Dots Nature Dark,364,10,19,38,0,admin,
Baton ciocolata cu caramel alune si glazura Dots Boom,396,8,21,45,0,admin,
Baton ciocolata cu stafide si rom Fagaras cel mare,440,3,62,19,0,admin,
Baton ciocolata extra dark Gerlinea,363,24,12,38,10,admin,
Baton ciocolata Hematogen Ekzon,390,7,4,82,0,admin,
Baton ciocolata J.D. Gross Mousse au Chocolat Milk Lidl,566,7,39,46,0,admin,
Baton ciocolata KitKat,521,7,28,60,2,admin,
Baton ciocolata Mars Delight,548,5,33,58,0,admin,
